URL,FB Likes,FB Shares,FB Comments,FB Total,Tweets,+1s,Diggs,Pins,LinkedIn Shares
http://gizmodo.com,5103,14958,6891,26952,821153,263923,0,1,301
http://hootsuite.com,7305,27046,1277,35628,349514,71005,0,16,17649
http://bloomberg.com,22677,54081,20073,96831,3,1023886,0,3,262
http://huffingtonpost.com,56787,133957,57156,247900,88,3061227,0,20,2838
http://techcrunch.com,5718,8569,1827,16114,51577,6243969,0,10,2118
htttp://quora.com,0,0,0,0,,,,,
http://forbes.com,11220,22307,6013,39540,31244,3153086,0,1,10213
http://theonion.com,47751,75755,27270,150776,0,2338262,0,1,348
http://espn.com,259893,414108,199057,873058,443,7092755,0,238,1543
http://aljazeera.com,12867,23943,9085,45895,850,2068120,0,2,5508
http://reuters.com,7247,19190,6021,32458,346,2568837,0,1,175
http://afp.com,1087,5785,526,7398,11761,23,0,0,68
htttp://bbc.co.uk,0,0,0,0,,,,,
http://bbc.com,81039,130227,57753,269019,9889,2860,0,17,75
http://foxnews.com,84734,96592,64978,246304,508,1698537,0,2,3579
http://usatoday.com,14966,22872,11142,48980,1933,1889352,0,1,146
http://time.com,21733,21037,11210,53980,82350,6611438,0,14,0
http://voa.com,344,473,107,924,52,144,0,0,22
http://engadget.com,5412,12468,5640,23520,29,2627383,0,35,2857
